대분류,실내/실외,소분류,주소,이름,평점,투표횟수,태깅
예술,실내,박물관,광주 북구 풍암제길 14,분청사기전시실,3.8,21,예술 박물관 분청사기전시실
예술,실내,박물관,광주 남구 제중로 64,오방 최흥종 기념관,0,0,예술 박물관 오방 최흥종 기념관
예술,실내,박물관,광주 북구 서하로 48-25,광주광역시역사민속박물관,4.3,298,예술 박물관 광주광역시역사민속박물관
예술,실내,박물관,광주 북구 풍향동 1-1,광주교육대학교 교육박물관,0,0,예술 박물관 광주교육대학교 교육박물관
예술,실내,박물관,광주 북구 하서로 110,국립광주박물관,4.3,955,예술 박물관 국립광주박물관
예술,실내,박물관,광주 동구 천변우로 599,백범기념관,5,3,예술 박물관 백범기념관
예술,실내,박물관,광주 동구 제봉로 143-1,비움박물관,4.6,8,예술 박물관 비움박물관
예술,실내,박물관,광주 북구 용봉동 300,전남대학교 박물관,0,0,예술 박물관 전남대학교 박물관
예술,실내,박물관,광주 북구 용봉로 116,한국미용박물관,4,17,예술 박물관 한국미용박물관
예술,실내,공연장,광주광역시 남구 천변좌로338번길 7,미디어놀이터,4.3,213,예술 공연장 미디어놀이터
예술,실내,공연장,광주광역시 남구 천변좌로338번길 7,홀로그램 극장,4.3,213,예술 공연장 홀로그램 극장
예술,실내,공연장,광주 동구 문화전당로 38,국립아시아문화전당,4.6,279,예술 공연장 국립아시아문화전당
예술,실내,공연장,광주 서구 무진대로 904,유ㆍ스퀘어문화관,4.3,2160,예술 공연장 유ㆍ스퀘어문화관
예술,실내,공연장,광주 남구 봉선로 208,광주남구문화예술회관,3.9,21,예술 공연장 광주남구문화예술회관
예술,실내,공연장,광주 북구 북문대로 60,광주문화예술회관,4.3,1040,예술 공연장 광주문화예술회관
예술,실내,공연장,광주 동구 예술길 18-1,궁동예술극장,3.8,28,예술 공연장 궁동예술극장
예술,실내,공연장,광주 서구 상무누리로 30,김대중컨벤션센터,4.1,2147,예술 공연장 김대중컨벤션센터
예술,실내,공연장,광주 동구 중흥로209번길 8,문예정터 극단 진달래피네,0,0,예술 공연장 문예정터 극단 진달래피네
예술,실내,공연장,광주 서구 풍금로 182,빛고을국악전수관,4.1,32,예술 공연장 빛고을국악전수관
예술,실내,공연장,광주 남구 구동 12,빛고을시민문화관,4.3,213,예술 공연장 빛고을시민문화관
예술,실내,공연장,광주 서구 마재로 3,서구문화센터,4.1,423,예술 공연장 서구문화센터
예술,실내,전통문화,광주광역시 동구 의재로 222,광주전통문화관,4.1,81,예술 전통문화 광주전통문화관
예술,실내,전통문화,광주 광산구 광곡길 133,월봉서원,4.5,117,예술 전통문화 월봉서원
예술,실내,전통문화,광주 북구 담안평무길 77,평촌도예공방,4.5,25,예술 전통문화 평촌도예공방
예술,실내,전통문화,광주 남구 고싸움로 2,고싸움놀이 테마파크,3.5,18,예술 전통문화 고싸움놀이 테마파크
예술,실내,전통문화,광주 남구 압촌4길 11,광주도예문화센터,4.2,35,예술 전통문화 광주도예문화센터
예술,실내,전통문화,광주 남구 중앙로95번안길 7-8,광주향교 체험,4,34,예술 전통문화 광주향교 체험
예술,실내,전통문화,광주 남구 포충로 937,빛고을공예창작촌,4.2,16,예술 전통문화 빛고을공예창작촌
예술,실내,전통문화,광주 동구 증심사길 177,증심사 템플스테이,4.5,10,예술 전통문화 증심사 템플스테이
